2026-03-03 03:16:55.318 [pool-batch-consume-blocking-queue-thread-0] DEBUG c.t.c.c.b.d.m.C.insertOrUpdateCommentTotalByContentId - <==    Updates: 2
2026-03-03 03:20:35.943 [ConsumeMessageThread_communitysharing_group_childtopicCountComment_4] INFO  c.t.c.c.b.c.CountContentChildCommentConsumer - 【子评论数计数】 聚合消息, size: [{"contentId":2017271718413860910,"commentId":1004004,"level":1,"parentId":2017271718413860910}]
2026-03-03 03:20:36.431 [pool-batch-consume-blocking-queue-thread-0] INFO  c.t.c.c.b.c.CountContentChildCommentConsumer - 【子评论数计数】 聚合消息, size: 1
2026-03-03 03:20:36.431 [pool-batch-consume-blocking-queue-thread-0] INFO  c.t.c.c.b.c.CountContentChildCommentConsumer - 【子评论数计数】 聚合消息, ["[{\"contentId\":2017271718413860910,\"commentId\":1004004,\"level\":1,\"parentId\":2017271718413860910}]"]
2026-03-03 03:20:36.431 [pool-batch-consume-blocking-queue-thread-0] INFO  c.t.c.c.b.c.CountContentChildCommentConsumer - 【子评论数计数】 解析消息： [{"contentId":2017271718413860910,"commentId":1004004,"level":1,"parentId":2017271718413860910}]
2026-03-03 03:20:36.432 [pool-batch-consume-blocking-queue-thread-0] INFO  c.t.c.c.b.c.CountContentChildCommentConsumer - 【子评论数计数】 二级评论: {}
2026-03-03 03:20:36.436 [NettyClientPublicExecutor_4] INFO  c.t.c.c.b.c.CountContentChildCommentConsumer - 【子评论数计数】 发送评论热度更新消息成功： SendResult [sendStatus=SEND_OK, msgId=7F0000013C9463947C6B0B0461510003, offsetMsgId=C0A8029100002A9F00000000012C5A83, messageQueue=MessageQueue [topic=CountHeatUpdateTopic, brokerName=broker-a, queueId=0], queueOffset=4]
2026-03-03 03:20:36.468 [pool-batch-consume-blocking-queue-thread-0] INFO  c.t.c.c.b.c.CountContentCommentConsumer - 【评论数计数】 聚合消息, size: 1
2026-03-03 03:20:36.468 [pool-batch-consume-blocking-queue-thread-0] INFO  c.t.c.c.b.c.CountContentCommentConsumer - 【评论数计数】 聚合消息, ["[{\"contentId\":2017271718413860910,\"commentId\":1004004,\"level\":1,\"parentId\":2017271718413860910}]"]
2026-03-03 03:20:36.468 [pool-batch-consume-blocking-queue-thread-0] INFO  c.t.c.c.b.c.CountContentCommentConsumer - 【评论数计数】 解析消息： [{"contentId":2017271718413860910,"commentId":1004004,"level":1,"parentId":2017271718413860910}]
